file_index,tile_id,unique_number,Memo,Scale,Significant,Marginal,Subtraction,Error
246,T00434,3435,nan,zscale,0,0,0,0
247,T00434,3441,nan,zscale,0,0,0,0
248,T00434,3443,nan,zscale,0,0,0,0
249,T00434,3457,nan,zscale,0,0,0,0
250,T00434,3476,nan,zscale,0,0,0,0
251,T00434,3477,nan,zscale,0,0,0,0
252,T00434,3482,nan,zscale,0,0,0,0
253,T00434,3485,nan,zscale,0,0,0,0
254,T00434,3501,nan,zscale,0,0,0,0
255,T00434,3504,nan,zscale,0,0,0,0
256,T00434,3512,nan,zscale,0,0,0,0
257,T00434,3522,nan,zscale,0,0,0,0
258,T00434,3523,nan,zscale,0,0,0,0
259,T00434,3524,nan,zscale,0,0,0,0
260,T00434,3533,nan,zscale,0,0,0,0
261,T00434,3537,nan,zscale,0,0,0,0
262,T00434,3541,nan,zscale,0,0,0,0
263,T00434,3546,nan,zscale,0,0,0,0
264,T00434,3547,nan,zscale,0,0,0,0
265,T00434,3548,nan,zscale,0,0,0,0
266,T00434,3553,nan,zscale,0,0,0,0
267,T00434,3558,nan,zscale,0,0,0,0
268,T00434,3562,nan,zscale,0,0,0,0
269,T00434,3568,nan,zscale,0,0,0,0
270,T00434,3570,nan,zscale,0,0,0,0
271,T00434,3571,nan,zscale,0,0,0,0
272,T00434,3572,nan,zscale,0,0,0,0
273,T00434,3582,nan,zscale,0,0,0,0
274,T00434,3585,nan,zscale,0,0,0,0
275,T00434,3589,nan,zscale,0,0,0,0
276,T00434,3598,nan,zscale,0,0,0,0
277,T00434,3599,nan,zscale,0,0,0,0
278,T00434,3602,nan,zscale,0,0,0,0
279,T00434,3605,nan,zscale,0,0,0,0
280,T00434,3608,nan,zscale,0,0,0,0
281,T00434,3622,nan,zscale,0,0,0,0
282,T00434,3627,nan,zscale,0,0,0,0
283,T00434,3632,nan,zscale,0,0,0,0
284,T00434,3648,nan,zscale,0,0,0,0
285,T00434,3655,nan,zscale,0,0,0,0
286,T00434,3659,nan,zscale,0,0,0,0
287,T00434,3666,nan,zscale,0,0,0,0
288,T00434,3677,nan,zscale,0,0,0,0
289,T00434,3707,nan,zscale,0,0,0,0
290,T00434,3723,nan,zscale,0,0,0,0
291,T00434,3726,nan,zscale,0,0,0,0
292,T00434,3742,nan,zscale,0,0,0,0
293,T00434,3760,nan,zscale,0,0,0,0
294,T00434,3773,nan,zscale,0,0,0,0
295,T00434,3774,nan,zscale,0,0,0,0
296,T00434,3785,nan,zscale,0,0,0,0
297,T00434,3788,nan,zscale,0,0,0,0
298,T00434,3790,nan,zscale,0,0,0,0
299,T00434,3795,nan,zscale,0,0,0,0
300,T00434,3797,nan,zscale,0,0,0,0
301,T00434,3815,nan,zscale,0,0,0,0
302,T00434,3817,nan,zscale,0,0,0,0
303,T00434,3829,nan,zscale,0,0,0,0
304,T00434,3855,nan,zscale,0,0,0,0
305,T00434,3874,nan,zscale,0,0,0,0
306,T00434,3907,nan,zscale,0,0,0,0
307,T00434,3908,nan,zscale,0,0,0,0
308,T00434,3934,nan,zscale,0,0,0,0
309,T00434,3946,nan,zscale,0,0,0,0
310,T00434,3962,nan,zscale,0,0,0,0
311,T00434,3975,nan,zscale,0,0,0,0
312,T00434,3984,nan,zscale,0,0,0,0
313,T00434,3991,nan,zscale,0,0,0,0
314,T00434,3993,nan,zscale,0,0,0,0
315,T00434,4000,nan,zscale,0,0,0,0
316,T00434,4007,nan,zscale,0,0,0,0
317,T00434,4037,nan,zscale,0,0,0,0
318,T00434,4044,nan,zscale,0,0,0,0
319,T00434,4047,nan,zscale,0,0,0,0
320,T00434,4048,nan,zscale,0,0,0,0
321,T00434,4061,nan,zscale,0,0,0,0
322,T00434,4068,nan,zscale,0,0,0,0
323,T00434,4070,nan,zscale,0,0,0,0
324,T00434,4076,nan,zscale,0,0,0,0
325,T00434,4099,nan,zscale,0,0,0,0
326,T00434,4106,nan,zscale,0,0,0,0
327,T00434,4127,nan,zscale,0,0,0,0
328,T00434,4138,nan,zscale,0,0,0,0
329,T00434,4142,nan,zscale,0,0,0,0
330,T00434,4158,nan,zscale,0,0,0,0
331,T00434,4188,nan,zscale,0,0,0,0
332,T00434,4191,nan,zscale,0,0,0,0
333,T00434,4194,nan,zscale,0,0,0,0
334,T00434,4200,nan,zscale,0,0,0,0
335,T00434,4216,nan,zscale,0,0,0,0
336,T00434,4225,nan,zscale,0,0,0,0
337,T00434,4226,nan,zscale,0,0,0,0
338,T00434,4232,nan,zscale,0,0,0,0
339,T00434,4234,nan,zscale,0,0,0,0
340,T00434,4240,nan,zscale,0,0,0,0
341,T00434,4244,nan,zscale,0,0,0,0
342,T00434,4249,nan,zscale,0,0,0,0
343,T00434,4259,nan,zscale,0,0,0,0
344,T00434,4264,nan,zscale,0,0,0,0
345,T00434,4268,nan,zscale,0,0,0,0
346,T00434,4281,nan,zscale,0,0,0,0
347,T00434,4287,nan,zscale,0,0,0,0
348,T00434,4289,nan,zscale,0,0,0,0
349,T00434,4304,nan,zscale,0,0,0,0
